gene,mean_exprs,bs,bs_conf_ul,bs_conf_ll
Dstn,28.40625,27.75955839,34.92844081,19.39965241
Dtd1,1.219178082,3.985721076,7.44003982,2.17472002
Dtnbp1,3.107692308,4.395538289,6.72477205,3.18636122
Dtx3,1.307317073,2.179511759,3.04316954,1.54254608
Dtymk,7.638190955,9.286484494,11.35336927,7.66455467
Dus1l,1.248803828,4.556711374,7.31773075,2.73267208
Dusp1,11.02727273,24.37337283,30.97522434,18.91074181
Dusp11,1.4,4.527845964,7.54444767,2.65323152
Dusp12,1.380090498,3.903506674,7.10410766,2.1491802
Dusp19,1.497487437,4.123494705,6.33302723,2.80139753
Dut,3.202898551,7.307729288,9.29856891,5.82493915
Dvl1,2.520547945,5.339630248,7.63876063,3.65135007
Dync1h1,7.837104072,11.33733694,14.38390016,8.8412953
Dync1i2,8.16,20.46978273,27.8227023,15.02731648
Dync1li2,3.389140271,2.798917762,5.25805697,2.04434797
Dynll2,18.75799087,17.29310662,20.45666494,14.75393101
Dynlrb1,19.23214286,6.98224571,7.45550142,5.42611643
Dysf,5.043165468,18.96004181,33.54135295,12.34205234
E130311K13Rik,1.775784753,5.125651227,7.47124536,3.42070073
E2f1,1.394871795,3.635255243,5.67396961,2.30258293
E2f4,1.423809524,1.698330658,2.26604349,1.26057521
E430025E21Rik,1.735426009,1.809242251,2.3618832,1.37833224
Eaf1,4.274509804,35.46599131,56.57579623,23.29113962
Eapp,3.09569378,12.60841838,18.68340065,8.58114573
Ebna1bp2,5.444954128,7.149955594,9.40992066,5.35665822
Ebpl,2.325688073,3.700779865,5.80647495,2.26507995
Ecd,1.1,1.360772582,2.77413242,0.87443799
Ece1,5.313901345,3.69453965,4.31318148,2.91909751
Ece2,1.337962963,1.451889735,1.94783522,1.07763918
Echdc1,1.070512821,4.886773847,7.29617144,3.38517914
Echdc2,1.923423423,3.515190196,4.51454969,2.73917988
Eci1,1.457142857,6.00624733,10.42940005,3.56427907
Eci2,1.221153846,3.261165485,5.45430836,1.92392774
Ecm1,65.2735426,48.14710094,55.94554149,41.89156688
Ecsit,1.071770335,6.199193784,11.22000528,3.52052152
